Denominación Social Empresa Comercializadora;Denominación de la Oferta;Tipo de tarifa;Importe primeras facturas en Euros;Importe siguientes facturas en Euros;Validez;Servicios Adicionales Incluidos;Penalización;Verde;URL de la Oferta
NEXUS ENERGIA SA;Luz Eficiente;3 Precios fijos Revisión anual;50.83;50.83;Válida para cualquier consumidor;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BCABE0B85762F6CAD7100E6AF9AB68AD856B5E6DC449B056003A8D0C83EFB4C667039FB03223AA0930FAE3307E80BD7B5E59D8A05F0506859EC60828931109516E9981323DA47CA23A9E1F95E16FBE724A70512F5D96695213048252A9F1AE71592D78194E3F289825178BAF22B1FE164668C7C9A8AFC36736D826B4AA5304A2B5AC9E8DAF481A99938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
LUCERA;Lucera precio fijo;1 Precio fijo Revisión semestral;51.08;51.08;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C0D6A0A3183FF868C4079D464F65F50A0D68AAD515C99413545776D3BEBF7CBD80F3849935971184BA52A85999B1F4F869495CA8E9266F74DDA91B5DC3C34D4E891FBBBA741EB92AB7713DB191909BB6FBD7ACB74F0350DDF39CCA88C61F45D3007D53B59A8C10AC567A61E703F1BA53BF3B189ACDF48EAA0F3DFF301B485EC5E396BC8D1FB5E93F938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
HIDROELECTRICA DE SILLEDA COMERCIALIZADORA, S.L;Eficiente digital 20TD;3 Precios fijos Revisión anual;51.24;51.24;Válida para nuevos clientes que cumplen ciertos requisitos (ver detalle de la oferta);Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C022BBDA21F0F68B258BFC2EDCE61EAEF0435E3A0621C57234F3CD924975BCABE353E77966DEBA73B7DF04790F744A65F3F29D0E0FD3387BD54925596A25A355B6FDA0A725A2E19DF987F1912E3F65AC83C294AD9B119B8FE1A679DB3F89CDFCFF83EEA292EFE1E3B721642B54F55124E66F67B0B97E104F4B72472A953787028B8EA36B9B022DC9938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
TELECOR S.A. UNIPERSONAL;Despreocúpate;1 Precio fijo Revisión anual;51.27;51.27;Válida sólo para consumidores domésticos;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BE090B4E75B2A19DD5C5728B42A75086FD48133C44EB06D3B158909BA04448BF077A9BC27AA2F765B819AFE90A59BB181C50A098F88EECF891BEA298EDE0CFEBA52929F0BF4E02AAE6BDA165469382F7F80039F0039702D98BD834A46A34DB0DE31917704ED90C5FAB9E7CE4A1CA331959B9917953B5DF62032BD3AD703195797EC4D6E386577EE5938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
DISA ENERGIA ELECTRICA S.L.;ALISIOS OPTIMIZA;3 Precios fijos Revisión anual;51.91;56.65;Válida sólo para consumidores domésticos;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BEA5B45098B640FF6C10FDE2BFDEE83F311CFC34A9759AA6DAD9DD27C2646433728430DF1F8B4AC6B766C6A6E9B44630AFD7AF5E2AF3BB8B88FA9620061334B537504FB0520EE062DE4F2C6DA49FAA790E63D5F4AF688ECA6787FA6D988F58320D82CEDE667A90BF08195430393B4411F84AD59394C352244D5350FAFC8F9A1C0D8E7D4E2CEA919D938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
EDP CLIENTES SAU;Tranquilidad HOGARES;1 Precio fijo Revisión anual;52.02;52.02;Válida sólo para consumidores domésticos;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C11B0018185854BFD4CFA2C45BBE3857310C1930234B7BA4A44963153E748D0FC55C94DD0868F07C140D406089470875092198423ACE17B72D5C38A27CF7AB315B5A0A08A3E5E186F0821E2B752FF2613898D7DC0F2772D3010D4D54A5333D86952B774A88A840AEE80F73EF0EB7AF4B1A218C05B872D55C24C236F5BF9874524273157413CCE125938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
MY ENERGIA ONER S.L;Tarifa Estándar 24 horas;1 Precio fijo Revisión anual;52.22;52.22;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C18FD4E9F5B626BA81A42D650FE7ADD38BC4E9A3F4C88616BA8FC78F1B28B2E46BF740CFAEC818F87BAA89BE6840CB4EF4FB77E24F07EA2D74ECBA2E4996BDF3121C1D81D041A53FDD34150AA5A125891539E86A63E66EB65B1F92BAF3289F30BD7A4E3029777C59D1E8E4C3A25E722FE72A1597215E7D6230AB98BEC47AC5E12F1AD2A53D95AE05938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
MY ENERGIA ONER S.L;Tarifa Estándar 3 periodos;3 Precios fijos Revisión anual;52.53;52.53;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C18F2AFA38D1412BFDC00F8426277185BF9E0B5D7ADDA1AA71B5329FDE44C421C24ABCECD97902EC23CE020DDFB6A5D672300C6E7D7621B583104514C410051D9B40D4AB4E8CC2AED038E3A38F893B10211043F537C841A5106E03CA5E5A22FFC5F9DB83388D94BD3666341F8470685A3D45AC14D9800F5684F75C8DA01693F630AB53066A702CDB938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
IBERDROLA CLIENTES, S.A.U.;2.0TD Plan Estable (0-10kW);1 Precio fijo Revisión cada cinco años;52.55;58.41;Válida para consumidores domésticos y pequeños negocios;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6B7D3357244430551EEA1EB60693324B20DA695E5AC6405C61C69366CF7D99195A684C0A0DFBFB1EBBBF03F5BA5ED2CA8773A5C0F59B072D4D8431CD4BA7D9ADCAFA6BB21480A5FA674B671F994D4E963B66AA5BC45476213C0B3EFE44270FCF264683F7E728F363CCBF3ED809FD4312CEDD27BA2F5C65832A3FCB3EDFAD293FF21A5E40226781AF7938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U;TARIFA MIS 3H GRATIS;Flexible Revisión anual;53.08;53.08;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C13439AE225267E768AC12270E472BE37ED117A63C2963B774BB7E984849FDF4F4F82888B22636511EC96494CDC8985873538B735671D98514159A6C4EF71AE0FFE6D9DFE4BF830EDDCB7378BCBCC05576C741409BA223641768850ABBD9ACCB523C7CF64B60A1EDFD75AC4B800D25025209355C63772B17A18326412677DD34070007076B5E0D61938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
IBERDROLA CLIENTES, S.A.U.;2.0TD Plan Estable Verde (0-10kW);1 Precio fijo Revisión cada cinco años;53.28;62.77;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BF6B85627B2978E4F39BC5B2D9A51ACED65BBA3E94E380B3A94B3BA4A3B852CCF555B6EB6D9AF524FE1CBA25DA83E478F0A2C4301EA7172B139AE5D574E65D31929319634E9E9D3BFAB6AE6D5C769B4546DD465A0A8904EB5A385E7AD0EBE93229084C2ED6C22D0C0E3AF33B1052B6C9BC2DA73B3DAF6BBA2D21622F5931B5A83B590C2FF692EC81938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
IBERDROLA CLIENTES, S.A.U.;2.0TD Plan Verano (0-10kW);Flexible Revisión cada cinco años;53.3;60.14;Válida para consumidores domésticos y pequeños negocios;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C14E1D33E931609D806C9F6AAA905BBD98BCF462CEF230368E082F0A8F035D9CCE40401731329232816210799AD44DB46050EA1843A763CAECAB714FA67D43661B4EF28DA74E0727D80FFA2D1A6178C2A91F4F1A543B010678754BB1674E984106CDF54EFF02EAC9AE5E954C0F50A48F33D548355659EEDEC9F851BDB1BB7800C9FC78399614BAC7938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
EDP CLIENTES SAU;Ahorro solar HOGARES;3 Precios fijos Revisión anual;53.71;53.71;Válida sólo para consumidores domésticos;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C11A56285B736F3150EB84E371FDFC0964E53AE9A96097385B6ECE2601909E4D1BB010FA3319DA6FBC30B8B000BCE2FC86562CCE693C4F3F3B7FC388F770F25BE47EC1322230FEF5E386ECC45F1807E8446F3366E30945C1B65BBE641064C1559DAB049D97BE59124C8CC34AF0C9A575703D228370946750790DFAC49B344267440395D540A75FFB938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
EDP CLIENTES SAU;Solar Dúo HOGARES;3 Precios fijos Revisión anual;53.72;53.72;Válida sólo para consumidores domésticos;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C11BAA07D53D3A4E58B3C0A5457E74A4FD32F7769D366010ED23F8047B587BD26F0918BFDDB806886BE9C81111D12DED8BED03B60C5FE02F1F38ADBC027E6406D23552DF259AC417FD7D4F928B47DCDA2CC27C513B459FE44BBEDC453A01B9B78CABE9F77992284B839224932CA5B920C405F58800514367D0767326E3FCA63D40E29512E6F2624F938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
HOLALUZ-CLIDOM, S.A;UN PRECIO CLÁSICO;1 Precio fijo Revisión anual;54.45;54.45;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BB2989B0E70114CAFE7421178EA24FCF650E0A34984662285F4BF52815BEE638A8CFC9FF405789F9719E67DA146F8D8203E38F51ED9745D5C393D02302C8D4053811E9875C6966DEB78BCF39A710AF7733C46ECD10FBF40243598B605C83571EAB28C2ED9A7A9A8E99F9F6931787A2560920E99A450194DEDB174EFBEE89886444307B79A804751D938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
MY ENERGIA ONER S.L;Tarifa Estándar Reducida 24 horas;1 Precio fijo Revisión anual;54.51;54.51;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C19128C96F7FF1D7896C6926E368266F2412A630E89E4EEF4C44F16D94F09069BF504895596645112B63991F7955163FFA924EC9F22B7B1D58A5A46154A42F9DFFD2AF2ED3AB6A61F72A77D8D1D0FA7AFD8D3154BC22C8D8F082B09C1CC59792AC7B338A0B4B4B9308EE460BDE3A85DB3AF2E89BB11B5979881411210D4329B72BF9D1E2E3E0B059938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
IBERDROLA CLIENTES, S.A.U.;2.0TD Plan Solar (0-10kW);Flexible Revisión anual;54.53;53.85;Válida para consumidores domésticos y pequeños negocios;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C1501B031FE011490C18F90D67D110A6FD318F363CB2DD7B6897EDD845AF29E4CB45CBBFB11FD45788F7A78B3472BE1DE8B32C73B85CBD32C240D09C37116DE67FE0CD112C6CAEDAFF018E625CA9382D859C3C79D895883A5889F88325BA0CD3ED4F4D55D1C0A19F80E6A738691AC210318284BC2DF53901CD1506511EE80DC1C54AF7160F853E45938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
HIDROELECTRICA DE SILLEDA COMERCIALIZADORA, S.L;Eficiente 20TD;3 Precios fijos Revisión anual;54.63;54.63;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BEB3A4FB177D15B03DC77155ECA3DAA0F04D37FCA9BA5788D4C814C7C116FA2B5DAB027A9F0819C9EC7DE8221D0959136A877FDE5BE92D6260103137FA205E37F74D4948F5E57648EEEA39E27495E66515CE53914DE241358818B429CD7F88365B0C370E29AA9097C9D1D1A6ADC21298E8077D437A025919631C4102F8C7B262ECB3F5557EFE2A0F938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
MY ENERGIA ONER S.L;Tarifa Estándar Reducida 3 periodos;3 Precios fijos Revisión anual;54.82;54.82;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C1907ED9B29B0C4905884B45F9A7EA2157EBC7EA6EB36A83036A5C7E580CA1A715A3C4B284172F04D387116EF0CAF0C777C6E3562099B2A566C92F47CF1D76C888F7665851F687D0EA2F4671BBB9100209638CDF90049BC7A5D121AB87F71B61B4FAC0DD1A6163F66D6B9567C04C7C05910E7F19693CEB6DDC5FD4EFE8DEF7CC2D8A524410BB2F2F938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U;TARIFA 2ª RESIDENCIA;Flexible Revisión anual;55.03;55.03;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C1358D8D9C1C330470744DE8E1C7A47F171ED4332FFF2C900670A876C211DB7A4851304E5CC46269CE8273F5DEDCE34978EA625AF9956A74F7CE849F5A048C8BED9D6B8CE8294830F7C1D646E8EC95475F1A8A2AF3DE7D86ACCBA2EBE576A52D413D62502D347127347B0D93BBE938ADA5D20860F334072EF8EB9EA36F40410A03DF064511A90FB5938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
HIDROELECTRICA DE SILLEDA COMERCIALIZADORA, S.L;Eficiente 20TD 24 H;1 Precio fijo Revisión anual;55.23;55.23;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BEC83902F734E1F236670F923AEB280CA90222856D2C00A5A7401DC020B0E3BDE98EFAF2739BC54890325682A5C3E2AB412982E4BC9073E8A9C25F4F2570C0115BDB1B42AACCE5D98155355E217B4B0AA6D93DC1A589B64D9399034BD2809224539A19FF55FD9C8E9EA535864D9543787AB0440A2DF1AC832DEF8AF660E9BDD7BC3469911088CE25938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
IBERDROLA CLIENTES, S.A.U.;2.0TD Plan Estable Comunidad de Propietarios (0-10kW);1 Precio fijo Revisión cada cinco años;55.25;55.25;Válida para cualquier consumidor;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BD200B9A77DBE33700007B2AC414A1DC13FD509B1BDBD65BCDA65C9723BFEBD863F1C7C00333BC7940BBA4DDD4F05ADCC7684CCCA1AD1083F47A149ADA29633DAE804BD4E84B5DCA1A54E50DFBC9072132E7BD4886373824226538C8631893EA89FBDC51FE247CA6736E4BDF986AB725698CE7D8C9BCFD61970D4C4C8AD12446A3E4DC2005EB664F938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
NEXUS ENERGIA SA;Luz Estable;1 Precio fijo Revisión anual;55.53;55.53;Válida para cualquier consumidor;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BCAB36C89A7E113C532BF08A0FEB2C5FB94480274A5ECBE9B75FF81D470BC603BD571BCD5CD493FCD91E5B7FF5F69802DB8E6D2C8D733E0DACE9930F0D8A507BF7BE385BBBEF9A112DA2EE2ECB57D3F95646ACBA31783C40C852F3621523324061AD056C5D5540FB8994DB0B04C3F4409C845E4760D1555B8B23EA8385EED2B7B73D1EEEDC22996F938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
FENIE ENERGIA, S.A.;Megavatio 2.0TD Ceropapel;3 Precios fijos Revisión anual;55.7;55.7;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C00F7BB1BC02F56634B499B4621F49DECFDC303E3685E52DF430EE7863A3B09EAAC8F6C73CE93B0DC3E3A57997CE0BBF22E770EF524F82E56F4FE17549E2B3274026605A7425372F811358E3AD89D5F8DB0AF3679BA6809A6B89489A6425BC70F5F6F10B4870A52619536193F0FE33F0A78F73EE954B98FCD807759975DDDF63B8ED2E6DAFC28C07938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
Pepeenergy ;Pepeenergy Tarifa precio fijo;1 Precio fijo Revisión semestral;55.84;55.84;Válida para cualquier consumidor;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C01A1AAD8A514E4E72F677C2FE230EBB924A14A5D5342BF281DA3D6C31E29CC9459134F491DA9BD341AC2082207063474F9E282C6B6C0A648D17330DA24E407EADDAEDC28F73604050C66F550F087D881DA53ABA5D8951AF16A237A3B10D7F806DFE1BDA570F1EEFD17E6BD5CFDED14B45D60C13133279B7934B38ABBC20FE139FE5285AE21A9EA7938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENERGIA NUFRI SL;ENERGIA NUFRI - SOLAR;1 Precio fijo Revisión anual;56.68;56.68;Válida para cualquier consumidor;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C00A2C33D4DBC8F21593AAAD141D67706EA53E0A672EC1CBAD5C46FE7C843A895D64D7B092708AAB04FF67F5537CDFFB0C8C1550C5C13F25E06C38A91DACEC7B894C19A6667E22A71939CDAAFCCA823139BDCFBE3AB5181015FCD115BDB1DAE939F35BA3C12168413D3DDC73018DE543586C27DC5658289F7A65941052BC500BC5713177169682B7938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
IBERDROLA CLIENTES, S.A.U.;2.0TD Plan Invierno (0-10kW);Flexible Revisión cada cinco años;56.86;70.99;Válida para consumidores domésticos y pequeños negocios;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C14EC723A616462C0450BD4B9450980B64E3D2A948DD14A2D6E2C3F9CBE74C5F77ECC3FA0681A83ED93E982A235E732CE31C558C15392C42DE87E6692C03FC3B922A3B642902E9B8E50B2B943079633B9D48F38F80592E17C326DAA1FC1D1471FE4E67FBEFECD26649E145F02D3EAE64DDB9B1B79E385CEA75AC8DEED61FA9EBC86BF7D8693A3BF1938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENSTROGA, S.L.;A Contraluz 2.0TD;3 Precios fijos Revisión anual;57.57;57.57;Válida para cualquier consumidor;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BB931597392BA84EE922AFC8BD07C421313217FA512A41699F0E75BEE75031200AF5B3E1BC763BA40396AE7EE23CD35B403B4C411722C854FB808AFCF175A09A0A4426C1EBC21EF5C78F7E405FEB5096D9A1939377B9F1BFA7A152CCC8C2798863EFFC573BC174D33025AC81AE5FBE0A8DFE7184E827EE1E8008B18188C489584B70BF1ECC4FAE33938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
IBERDROLA CLIENTES, S.A.U.;2.0TD Plan Noche (0-10kW);Flexible Revisión cada cinco años;58.04;63.69;Válida para consumidores domésticos y pequeños negocios;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C0CDFF7680A0502C117218DA70A2E516AF6F6140E4DBFA93A13DE6ADA72C5CDAE330D2146092F2E4441FC462AAAE0DD9C4F4E7C744BF415D95772911FBEBEA777FFD08D5DDEF37CD0EAFBB757259B39295BA52C4117B06FD2898885137A2F7566EF780ED5EAB4DB870D769917EDB3A7A1EA1BCFD27A8F8125716F0B14231D5D6F7ED417C66CE5A1D938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
HOLALUZ-CLIDOM, S.A;TRES PRECIOS CLÁSICO;3 Precios fijos Revisión anual;58.19;58.19;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BB2A33A0A3E5FA5982583EF878628C1D3134E87B12314694A8268A1752A2D4FB527C4DE215A6A005C97AEF8A9CF9B2FA86AEFAC5BF290E4DB570453C884F8CDAAEED325DDE1E496FC48700A0BD2899F027EE13423D1A21138E0B1A50F151D34FA2A9359A8B64822B357CA7373575AC2BB305531C8CE002EA86CB8B2D12EDBA4F429FFB187B29F647938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
IBERDROLA CLIENTES, S.A.U.;2.0TD Plan Mas Ahorro (0-10kW);3 Precios fijos Revisión cada cinco años;58.23;56.06;Válida para consumidores domésticos y pequeños negocios;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C0A031D896EE70C284F60B3B6FD2A41EA8F57842088C6963FE53C2323DBD026327B145F0E242019095AF31CDDD71F45E8420F18FC8743909650B9930FE9C18EE76E26704E82E26B48EFB6AAC7DE780F8C680FF2F2D58E15406BD01791BFB7E23B95898506F9FE082869DCD556DB293E354114CDFC8B54EED0F82B7727330618063DFDBAD7DB289CB938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENSTROGA, S.L.;Precio Único <10K - 2.0TD;1 Precio fijo Revisión anual;59.2;59.2;Válida para cualquier consumidor;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BCF98B49ABFFE0ED1E51B635CE86F83BD32EF4A37CA415D34C209E63581BD3BDF2DBE65BAF48BDAD58C4E6DEE5A3DD8F2551F48F26A5A55728878CD299A382E0C0D1CB3B855008ED296BB3B2FA5DE7B9E1787ABC87610239362AD646AC5070D276E1E1236926032B37D246B0D07C7CBCEBCD005481580EBCB037A92A4C1DD508FEA1F2242F6C22CB938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
